V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2f7QtVJnlaB2zEV,Default Response Set,Anonymous,,,187.133.27.153,0,2014-05-17 10:11:13,2014-05-17 10:17:21,1,food stamps,tax breaks,safe sex,control,intelligent design,6,6,1,3,5,2,4,1,1,1,,1,,,,1,4,3,4,3,4,45.636,54.263000000000005,87.666,6,1,,,1,,,4,2,3,2,2,3,29.658,35.82300000000001,36.868,6,1,,,,1,,4,2,3,4,2,2,12.168,19.113,20.314,6,1,1,,,,,3,2,3,2,2,3,35.86,49.72099999999999,50.88,6,1,,,,,1,3,2,4,3,2,3,7.099,17.602999999999998,19.244,9,1,1,5,,,5,,,1,3,5,6,3,5,3,5,5,4,1,35,none,20.716705322266,-103.40000152588,-1,
R_3CAB3m47H1EUX5P,Default Response Set,Anonymous,,,174.19.226.216,0,2014-05-17 10:11:52,2014-05-17 10:17:57,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,4,1,5,2,3,1,1,1,,1,,,,2,4,3,5,4,4,31.072,53.504999999999995,57.612,8,1,1,,,,,2,4,4,4,4,4,38.453,56.373999999999995,57.996,7,1,,,,1,,1,5,1,5,5,5,19.679,34.214,35.477,7,1,,,1,,,2,4,2,2,3,2,31.477,50.165,54.641,8,1,,,,,1,1,5,1,5,5,5,22.22,34.493,36.137,6,1,3,3,,,6,,,6,4,7,4,6,3,5,6,1,2,1,35,,33.448394775391,-112.07399749756,-1,
R_8FZLUewf8I5TPQV,Default Response Set,Anonymous,,,71.237.101.182,0,2014-05-17 09:53:43,2014-05-17 10:18:03,1,tax breaks,intelligent design,control,food stamps,safe sex,6,6,2,3,1,5,4,1,1,1,,,1,,,1,5,2,4,3,5,85.536,96.11,97.675,6,1,,,,,1,4,4,5,5,5,5,269.039,450.02899999999994,451.52,6,1,1,,,,,5,1,4,1,1,1,84.955,121.678,123.825,7,1,,1,,,,5,1,5,1,1,1,14.072,95.84000000000002,97.871,8,1,,,,1,,4,2,5,1,1,1,504.723,515.885,516.779,7,1,1,4,,,4,,,7,5,7,7,1,7,1,1,5,7,2,31,,40.168899536133,-105.09449768066,-1,
R_7O0qaHVSt5zM8MB,Default Response Set,Anonymous,,,68.41.209.5,0,2014-05-17 10:12:05,2014-05-17 10:18:09,1,tax breaks,control,safe sex,food stamps,intelligent design,6,6,2,3,1,5,4,1,1,1,,,1,,,2,3,3,2,4,2,45.087,56.716,57.355,6,1,1,,,,,4,2,4,3,2,3,29.726,45.006,45.627,7,1,,,,1,,3,2,3,4,2,4,50.219,62.031,62.652,7,1,,1,,,,3,3,3,4,4,4,38.013,51.049,51.431,7,1,,,,,1,2,4,2,5,4,4,33.736,46.869,47.523,9,1,2,2,,,2,,,4,5,6,2,5,3,2,6,2,2,1,31,,43.177597045898,-83.70719909668,-1,
R_79Rxi56jlE4Rgrj,Default Response Set,Anonymous,,,98.248.138.69,0,2014-05-17 10:10:32,2014-05-17 10:18:41,1,tax breaks,food stamps,safe sex,control,intelligent design,6,6,5,4,1,2,3,1,1,1,,,1,,,3,3,3,4,3,4,22.866,81.625,82.655,10,1,,1,,,,4,2,3,3,3,3,22.044,35.446999999999996,36.798,6,1,,,,1,,4,2,4,4,2,3,36.851,61.158,64.169,7,1,1,,,,,4,2,4,4,3,4,72.893,84.633,85.573,6,1,,,,,1,4,3,3,3,3,3,29.903,39.30700000000001,43.296,6,1,1,4,,,6,,,4,4,5,3,6,5,6,7,2,5,1,42,,37.550994873047,-122.07780456543,-1,
R_cTT2DVvt78aFJVr,Default Response Set,Anonymous,,,76.112.18.67,0,2014-05-17 10:11:57,2014-05-17 10:18:49,1,intelligent design,safe sex,food stamps,tax breaks,control,6,6,5,4,2,1,3,1,1,1,,,,,1,2,5,2,4,5,4,50.311,61.789,63.082,6,1,,,,1,,5,1,5,1,1,3,23.141,34.318,35.948,6,1,,1,,,,4,2,3,3,2,2,7.361,20.763,22.407,6,1,,,1,,,4,2,4,3,2,3,74.121,89.592,90.611,7,1,1,,,,,2,4,1,5,5,4,37.902,56.934,58.643,6,1,2,4,,,3,,,6,3,7,7,4,5,3,3,4,4,2,41,,42.659896850586,-83.12370300293,-1,
R_9FagT0DCKLeWQMl,Default Response Set,Anonymous,,,99.179.140.241,0,2014-05-17 09:55:09,2014-05-17 10:19:29,1,control,safe sex,tax breaks,food stamps,intelligent design,6,6,5,4,3,2,1,1,1,1,1,,,,,3,3,3,3,3,3,46.056,49.857000000000006,50.901,6,1,,,,1,,5,1,4,1,1,1,29.121,37.89799999999999,39.214,6,1,,,1,,,2,2,3,1,1,2,49.148,61.915000000000006,62.945,6,1,,1,,,,4,1,3,1,1,2,1119.17,1128.145,1129.118,7,1,,,,,1,3,1,3,1,1,2,70.666,84.339,85.223,6,1,2,4,,,,,1,7,1,7,4,5,5,4,4,5,3,2,28,,32.852401733398,-97.28800201416,-1,
R_29VIPE7wHsZTbzT,Default Response Set,Anonymous,,,74.98.207.235,0,2014-05-17 10:14:39,2014-05-17 10:19:45,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,1,4,2,5,3,1,1,1,1,,,,,4,3,3,4,3,3,5.149,59.839000000000006,60.633,11,1,,,1,,,3,3,4,4,4,3,19.539,25.562000000000005,26.919,6,1,,1,,,,4,3,3,3,4,3,11.852,33.713,34.541,8,1,,,,,1,4,4,4,3,3,3,18.25,24.367,26.283,7,1,,,,1,,4,4,3,3,4,4,18.468,75.373,77.05,7,1,2,1,,,1,,,4,5,4,4,4,4,6,5,5,4,1,40,I enjoyed taking this survey.,40.423492431641,-79.758796691895,-1,
R_6GclA8Bm5rFrUvX,Default Response Set,Anonymous,,,24.19.12.216,0,2014-05-17 10:14:07,2014-05-17 10:19:51,1,control,intelligent design,safe sex,food stamps,tax breaks,6,6,2,5,4,1,3,1,1,1,1,,,,,2,4,1,5,5,5,19.418,27.397000000000002,28.162,6,1,,,,,1,5,2,5,2,1,2,22.416,31.790999999999997,32.659,6,1,,,,1,,1,4,3,4,2,3,15.149,25.451999999999995,26.309,7,1,,1,,,,4,2,3,5,2,3,43.424,54.998000000000005,55.794,6,1,,,1,,,3,2,4,3,2,2,36.36,44.091,45.395,6,1,2,1,,,3,,,7,1,7,1,1,6,3,1,5,6,2,25,,47.715698242188,-122.30099487305,-1,
R_0IJSUxOj3oMtBWZ,Default Response Set,Anonymous,,,68.33.18.137,0,2014-05-17 10:16:48,2014-05-17 10:20:28,1,intelligent design,safe sex,food stamps,control,tax breaks,6,6,5,1,3,4,2,1,1,1,,,,,1,3,3,3,4,3,4,54.33,56.845000000000006,58.642,7,1,,,,1,,4,4,3,3,4,4,8.322,12.411000000000001,13.182,8,1,,1,,,,3,3,3,4,4,4,1.231,3.303000000000001,5.598,7,1,1,,,,,3,4,3,4,4,4,1.331,3.4859999999999998,5.537,6,1,,,1,,,4,4,4,3,4,4,1.9,4.606,7.025,8,1,1,5,,,5,,,5,5,5,4,3,4,5,4,4,5,1,28,,38.908493041992,-77.017700195312,-1,
R_2fbjyo69DxuxzI9,Default Response Set,Anonymous,,,97.90.225.142,0,2014-05-17 10:13:13,2014-05-17 10:20:53,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,5,4,1,2,3,1,1,1,,1,,,,2,4,2,4,4,3,0.181,38.501000000000005,40.017,9,1,1,,,,,5,2,4,3,1,3,152.835,160.48999999999998,161.216,6,1,,,1,,,3,3,3,4,3,4,40.727,47.15899999999999,47.97,6,1,,,,1,,5,1,4,3,3,3,35.8,45.04899999999999,46.541,6,1,,,,,1,1,5,3,4,3,4,25.872,33.016,34.06,6,1,2,1,,,4,,,6,2,7,1,4,5,4,5,3,5,1,28,,44.847106933594,-92.000900268555,-1,
R_72jpa38ixZ1rYPj,Default Response Set,Anonymous,,,68.198.188.124,0,2014-05-17 10:14:32,2014-05-17 10:21:16,1,control,food stamps,intelligent design,tax breaks,safe sex,6,6,1,5,3,2,4,1,1,1,1,,,,,4,2,2,4,4,4,44.129,66.75099999999999,67.85,12,1,,1,,,,5,1,5,2,1,2,30.434,38.604000000000006,39.118,9,1,,,,,1,3,3,5,1,1,3,0.075,60.757000000000005,61.35,12,1,,,1,,,4,2,4,2,2,2,48.051,57.13200000000001,57.79,6,1,,,,1,,5,1,5,4,1,3,25.441,35.469,36.108,9,1,2,1,,,3,,,7,2,7,1,6,6,4,5,3,1,1,26,,40.907806396484,-73.555702209473,-1,
R_57TDTyzCGHEAwxT,Default Response Set,Anonymous,,,207.191.196.139,0,2014-05-17 10:13:00,2014-05-17 10:21:33,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,5,2,4,3,1,1,1,1,1,,,,,1,5,2,5,4,4,33.281,55.92699999999999,57.202,8,1,,1,,,,4,1,5,4,1,1,42.788,57.982,59.136,6,1,,,,1,,1,5,2,5,4,1,34.412,50.497,51.81,6,1,,,1,,,4,1,5,4,1,1,48.692,61.39399999999999,63.003,6,1,,,,,1,1,5,2,5,4,1,53.209,93.822,95.723,6,1,3,1,,,2,,,5,1,7,7,7,1,7,7,1,1,1,57,I thought this was a very good study with some interesting ideas.  I am sure it will be interesting to see the results.,42.060394287109,-91.585800170898,-1,
R_a8XdC4iq8rqNKEl,Default Response Set,Anonymous,,,99.65.237.117,0,2014-05-17 10:14:47,2014-05-17 10:21:50,1,tax breaks,control,intelligent design,safe sex,food stamps,6,6,3,4,5,2,1,1,1,1,,,1,,,1,4,2,2,4,4,38.488,55.089,56.776,6,1,1,,,,,2,4,2,4,4,3,33.853,47.44600000000001,48.397,7,1,,,,,1,4,1,4,3,2,4,40.628,48.60999999999999,52.79,6,1,,,,1,,4,2,5,2,2,3,28.962,46.664,48.303,10,1,,1,,,,3,4,4,2,2,3,31.341,39.681000000000004,41.815,8,1,2,2,,,3,,,5,1,7,5,5,3,3,5,5,3,1,28,No questions or comments,29.614395141602,-95.387702941895,-1,
R_aWXWPOETm7vqLC5,Default Response Set,Anonymous,,,50.30.252.160,0,2014-05-17 10:18:43,2014-05-17 10:22:34,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,1,3,4,2,5,1,1,1,1,,,,,4,2,3,4,2,4,24.775,32.998999999999995,33.642,6,1,,1,,,,5,1,4,2,2,2,19.608,24.502000000000002,25.123,6,1,,,1,,,4,2,3,2,2,2,15.66,19.915000000000003,22.343,6,1,,,,1,,4,2,4,2,2,4,21.681,29.328,30.013,6,1,,,,,1,3,3,4,4,3,3,30.254,38.806000000000004,39.466,6,1,2,2,,,6,,,6,6,6,1,2,6,2,4,4,6,2,24,,31.90510559082,-85.893699645996,-1,
R_eRGtC7C2By9WsFn,Default Response Set,Anonymous,,,174.109.141.119,0,2014-05-17 10:13:52,2014-05-17 10:24:16,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,2,3,4,5,1,1,1,1,,1,,,,3,4,2,4,4,2,80.627,112.73699999999997,116.84,9,1,1,,,,,4,1,4,3,2,2,43.341,79.076,80.79,9,1,,,1,,,3,2,3,4,2,2,41.498,58.684,60.139,7,1,,,,,1,2,2,2,4,4,3,65.432,85.39600000000002,87.209,6,1,,,,1,,5,1,4,4,1,3,70.439,104.41499999999998,114.112,10,1,2,2,,,3,,,6,4,7,1,3,3,5,5,5,2,1,30,No,36.105194091797,-78.686798095703,-1,
R_doO9rygB91FRB0p,Default Response Set,Anonymous,,,50.191.153.101,0,2014-05-17 10:22:08,2014-05-17 10:25:15,1,intelligent design,safe sex,control,tax breaks,food stamps,6,6,1,5,4,2,3,1,1,1,,,,,1,1,5,1,4,4,4,19.733,27.945000000000004,28.654,7,1,,,,1,,5,1,5,1,1,1,8.338,20.752000000000002,21.155,9,1,1,,,,,4,2,5,2,2,2,7.514,16.851,17.906,8,1,,,1,,,4,2,3,2,2,2,21.61,28.939,29.597,7,1,,1,,,,2,4,2,5,4,5,11.739,17.794,18.408,7,1,2,3,,,4,,,6,1,7,1,3,5,3,3,4,6,2,21,,40.019195556641,-75.09400177002,-1,
R_0rJfoOhwN2yyEXX,Default Response Set,Anonymous,,,75.85.172.10,0,2014-05-17 10:19:19,2014-05-17 10:25:23,1,intelligent design,control,food stamps,tax breaks,safe sex,6,6,1,3,5,4,2,1,1,1,,,,,1,4,2,3,3,2,3,45.941,67.425,68.666,7,1,1,,,,,4,2,4,3,2,3,27.232,36.495000000000005,37.6,6,1,,1,,,,4,2,3,4,3,4,20.77,30.044999999999998,31.653,7,1,,,1,,,4,2,4,3,2,2,39.206,50.739,51.795,6,1,,,,1,,4,1,4,2,2,2,38.452,51.09700000000001,52.288,7,1,2,2,,,3,,,7,1,6,1,3,3,5,5,2,3,2,20,,32.965606689453,-117.12699890137,-1,
R_8ro8DHHcEkaKiSF,Default Response Set,Anonymous,,,108.61.59.27,0,2014-05-17 10:17:19,2014-05-17 10:25:27,1,intelligent design,control,tax breaks,safe sex,food stamps,6,6,2,4,3,5,1,1,1,1,,,,,1,2,4,3,5,3,3,137.723,149.842,153.666,8,1,1,,,,,3,3,2,3,2,5,79.902,90.894,93.549,6,1,,,1,,,3,2,4,4,2,4,22.381,39.763,42.316,7,1,,,,1,,3,2,4,4,2,2,16.097,24.592000000000006,26.208,6,1,,1,,,,4,2,3,4,2,1,33.996,54.187000000000005,57.003,8,1,2,2,,,3,,,6,3,7,1,4,6,2,3,4,3,1,46,,40.416900634766,-74.25789642334,-1,
R_9tLwXNVyxAXiUuN,Default Response Set,Anonymous,,,68.6.123.66,0,2014-05-17 10:19:25,2014-05-17 10:26:38,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,1,4,3,2,5,1,1,1,1,,,,,1,5,1,5,5,5,74.759,86.95,87.76,6,1,,1,,,,1,4,1,5,5,4,40.19,55.237,56.759,6,1,,,1,,,1,4,1,5,5,5,37.141,50.804,52.518,6,1,,,,1,,2,4,1,5,1,4,51.25,65.194,66.077,6,1,,,,,1,1,4,1,4,5,4,24.333,35.22,37.199,6,1,3,5,,,5,,,3,2,5,1,7,6,7,7,1,1,1,60,,34.420806884766,-119.69819641113,-1,
R_bmk3PXeGNTPsh5b,Default Response Set,Anonymous,,,68.46.56.243,0,2014-05-17 10:17:16,2014-05-17 10:27:19,1,control,intelligent design,food stamps,tax breaks,safe sex,6,6,1,2,3,4,5,1,1,1,1,,,,,3,3,3,4,3,4,67.955,86.83599999999998,89.759,6,1,,,,,1,4,1,4,2,1,2,60.256,73.855,76.631,6,1,,1,,,,2,4,3,4,3,4,78.191,93.23800000000001,93.996,9,1,,,1,,,4,2,3,4,3,3,70.61,77.839,81.993,6,1,,,,1,,4,1,4,2,1,1,79.204,98.425,103.77,8,1,3,4,,,6,,,6,6,7,6,7,6,7,7,1,2,1,21,,39.824005126953,-75.131797790527,-1,
R_dbOhmvO6RRxa4w5,Default Response Set,Anonymous,,,50.177.195.231,0,2014-05-17 10:18:59,2014-05-17 10:27:51,1,intelligent design,control,food stamps,safe sex,tax breaks,6,6,2,5,1,4,3,1,1,1,,,,,1,2,3,2,2,2,2,86.298,96.93100000000001,98.16,7,1,1,,,,,4,2,4,2,2,2,12.537,20.7,22.064,6,1,,1,,,,3,3,4,3,3,3,60.35,76.061,79.744,6,1,,,,1,,3,3,3,3,3,3,4.939,13.556000000000001,14.675,6,1,,,1,,,4,3,3,3,3,3,149.557,155.68499999999997,157.017,6,1,3,1,,,,,1,6,2,7,1,6,6,4,4,3,2,2,29,,41.37809753418,-73.469100952148,-1,
R_cwNMEmsAwLGKXFb,Default Response Set,Anonymous,,,137.165.167.166,0,2014-05-17 10:22:57,2014-05-17 10:27:56,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,3,1,4,5,2,1,1,1,1,,,,,3,3,3,3,3,4,25.241,32.645,33.392,6,1,,,1,,,4,1,4,3,2,2,62.597,72.514,73.216,7,1,,1,,,,2,4,2,3,4,5,22.595,30.488000000000003,31.104,7,1,,,,,1,3,3,3,4,3,4,24.515,28.291999999999998,28.91,6,1,,,,1,,3,3,3,4,2,3,34.925,43.471000000000004,44.104,6,1,2,2,,,3,,,7,2,6,4,5,5,4,6,3,3,2,21,,42.644195556641,-73.246299743652,-1,
R_aVKTdwKPQNM9Cex,Default Response Set,Anonymous,,,64.134.172.218,0,2014-05-17 10:24:44,2014-05-17 10:28:45,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,3,2,5,4,1,1,1,1,1,,,,,4,2,4,2,2,2,10.163,14.886,15.799,6,1,,1,,,,5,1,5,1,1,1,29.606,38.031,39.076,6,1,,,,1,,4,2,4,1,1,1,5.53,12.421,13.441,7,1,,,1,,,4,2,4,2,2,2,11.491,16.657,17.655,6,1,,,,,1,4,2,4,3,3,2,56.683,64.118,65.04,6,1,2,3,,,3,,,6,4,7,7,5,5,5,5,5,5,1,23,,38,-97,-1,
R_dj3wCwQ6v713QTX,Default Response Set,Anonymous,,,68.57.89.237,0,2014-05-17 10:24:21,2014-05-17 10:28:56,1,food stamps,control,intelligent design,safe sex,tax breaks,6,6,5,1,2,4,3,1,1,1,,1,,,,3,2,2,2,2,3,15.922,27.108000000000004,28.016,6,1,1,,,,,4,2,3,3,2,2,22.082,31.891,32.973,6,1,,,,,1,5,1,4,2,2,3,17.896,29.452,30.46,7,1,,,,1,,4,2,3,3,2,3,24.391,32.739999999999995,33.718,7,1,,,1,,,4,2,4,2,2,2,16.819,24.062999999999995,25.133,6,1,3,2,,,3,,,6,2,7,3,3,5,5,5,4,4,2,27,,37.59489440918,-77.575698852539,-1,
R_emm6tvmbYA9RAfr,Default Response Set,Anonymous,,,184.58.114.82,0,2014-05-17 10:21:40,2014-05-17 10:28:59,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,3,1,4,5,1,1,1,,1,,,,1,5,2,2,3,3,25.267,31.939999999999998,38.215,6,1,1,,,,,1,5,1,5,5,5,23.72,29.68,31.647,6,1,,,1,,,1,4,2,3,3,4,18.2,28.743,29.652,6,1,,,,1,,4,2,4,2,2,2,137.692,143.9,145.09,8,1,,,,,1,4,2,4,2,2,2,27.094,35.624,37.402,9,1,3,1,,,5,,,4,4,7,4,5,6,4,6,1,1,1,29,nope it was fun ,41.398895263672,-83.653900146484,-1,
R_7VvMxqek5fLiQHX,Default Response Set,Anonymous,,,67.101.221.76,0,2014-05-17 10:20:32,2014-05-17 10:30:04,1,tax breaks,control,safe sex,food stamps,intelligent design,6,6,3,1,2,5,4,1,1,1,,,1,,,4,1,3,4,2,3,31.665,49.504,51.011,6,1,1,,,,,4,1,4,2,1,1,67.75,87.55299999999998,90.608,6,1,,,,1,,3,2,3,4,3,2,33.727,51.642,53.149,6,1,,1,,,,4,1,3,2,2,2,46.876,81.69600000000001,83.458,6,1,,,,,1,1,4,2,4,4,4,48.616,66.598,68.643,6,1,2,2,,,2,,,7,3,7,2,1,7,1,1,6,5,2,56,,37.77490234375,-122.41940307617,-1,
R_3qqC2nGvO2kMXAh,Default Response Set,Anonymous,,,69.89.67.167,0,2014-05-17 10:23:03,2014-05-17 10:30:50,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,5,4,3,1,2,1,1,1,,,1,,,1,5,1,5,5,5,16.354,24.978,25.732,7,1,1,,,,,2,4,2,4,3,5,19.562,31.946000000000005,32.948,8,1,,1,,,,4,2,4,5,1,4,18.16,27.895999999999997,28.482,7,1,,,,,1,2,4,2,4,3,3,33.873,247.68700000000007,248.234,13,1,,,,1,,4,1,5,2,1,1,33.342,41.66199999999999,42.416,6,1,2,1,,,1,,,5,1,7,1,3,5,2,5,2,2,1,33,,33.645095825195,-117.67860412598,-1,
R_73U1vpLQnQ9ukct,Default Response Set,Anonymous,,,71.170.241.161,0,2014-05-17 10:27:42,2014-05-17 10:31:01,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,4,2,1,5,3,1,1,1,,1,,,,5,2,4,4,1,1,9.944,15.967,16.492,7,1,1,,,,,5,1,5,2,1,1,10.921,18.073999999999998,19.244,9,1,,,1,,,4,2,4,4,2,1,29.896,38.233000000000004,39.626,7,1,,,,1,,5,1,5,4,1,1,6.364,14.524,15.524,8,1,,,,,1,4,2,4,4,2,2,15.976,21.073000000000004,24.158,6,1,2,2,,,3,,,6,2,7,1,3,6,1,3,6,5,1,19,,33.016204833984,-96.538200378418,-1,
R_cBF8VpubkcAD0d7,Default Response Set,Anonymous,,,67.168.200.25,0,2014-05-17 10:27:04,2014-05-17 10:31:26,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,3,4,5,1,2,1,1,1,1,,,,,3,3,3,4,2,4,16.299,30.409999999999997,31.021,6,1,,1,,,,4,2,4,2,2,2,21.345,30.624,31.282,6,1,,,1,,,2,3,2,4,3,4,19.096,27.887999999999998,28.483,6,1,,,,1,,5,1,4,3,1,3,34.619,51.851,52.461,6,1,,,,,1,2,4,2,5,3,4,20.018,28.249000000000002,28.862,6,1,1,2,,,6,,,5,6,7,1,6,5,6,5,2,2,1,29,,45.450897216797,-122.69619750977,-1,
R_5AbgTqhBVRCqmK9,Default Response Set,Anonymous,,,74.220.50.83,0,2014-05-17 10:26:23,2014-05-17 10:32:28,1,safe sex,intelligent design,food stamps,control,tax breaks,6,6,3,2,1,4,5,1,1,1,,,,1,,4,2,3,4,2,4,34.82,45.997,47.1,6,1,,,,,1,4,2,4,3,2,3,1.845,48.117,49.753,8,1,,1,,,,4,3,3,4,3,4,1.247,56.024,56.932,7,1,1,,,,,1,5,3,4,3,4,1.643,35.613,36.445,8,1,,,1,,,3,3,3,5,3,3,1.834,41.603,42.722,7,1,3,1,,,,1,,5,1,7,1,6,3,5,7,4,2,1,21,No,40.037902832031,-76.30549621582,-1,
R_aVPdIVNuVzIPno1,Default Response Set,Anonymous,,,72.202.131.164,0,2014-05-17 10:26:41,2014-05-17 10:34:32,1,tax breaks,food stamps,control,intelligent design,safe sex,6,6,1,5,2,4,3,1,1,1,,,1,,,3,2,3,5,2,4,48.489,65.836,67.353,6,1,,1,,,,3,1,3,3,1,2,41.643,49.022000000000006,49.967,6,1,1,,,,,4,1,4,4,1,3,34.668,44.088,44.887,6,1,,,,,1,2,2,2,5,3,4,65.158,79.579,80.51,6,1,,,,1,,3,2,3,4,2,3,48.017,68.74700000000001,69.864,7,1,2,2,,,4,,,6,5,7,1,4,4,4,5,4,3,1,25,,37.668304443359,-97.277297973633,-1,
R_74IBU4JtSzEVCSN,Default Response Set,Anonymous,,,70.188.162.151,0,2014-05-17 10:24:59,2014-05-17 10:35:08,1,tax breaks,safe sex,intelligent design,food stamps,control,6,6,2,1,5,4,3,1,1,1,,,1,,,1,5,1,5,5,5,13.745,102.566,103.333,8,1,,,,1,,5,1,5,1,1,3,122.119,133.544,137.131,6,1,,,,,1,1,5,1,5,5,3,34.642,53.56099999999999,61.07,7,1,,1,,,,5,1,5,1,1,5,30.016,41.07999999999999,43.844,6,1,1,,,,,3,3,2,4,4,4,89.144,108.401,109.877,8,1,3,4,,,4,,,7,1,7,1,7,3,7,7,1,1,1,33,,41.906799316406,-72.551597595215,-1,
R_3DfBPo0n29AzsQB,Default Response Set,Anonymous,,,67.170.104.244,0,2014-05-17 10:32:31,2014-05-17 10:35:14,1,safe sex,intelligent design,tax breaks,food stamps,control,6,6,4,2,1,3,5,1,1,1,,,,1,,5,5,3,1,3,3,2.081,6.970999999999999,8.746,6,1,,,,,1,3,3,5,4,1,3,14.949,21.936,22.543,6,1,,,1,,,3,3,5,4,1,3,20.846,30.707,31.313,7,1,,1,,,,3,3,5,4,1,3,13.729,19.450999999999997,20.034,6,1,1,,,,,3,3,5,1,3,3,4.228,6.989,11.086,6,1,2,2,,,2,,,7,6,7,1,1,7,1,1,7,7,1,25,none,47.685394287109,-122.28720092773,-1,
R_8J4oK8crOQ9DVqJ,Default Response Set,Anonymous,,,24.21.136.186,0,2014-05-17 10:30:06,2014-05-17 10:37:03,1,control,safe sex,tax breaks,food stamps,intelligent design,6,6,5,4,2,3,1,1,1,1,1,,,,,1,5,1,5,5,5,19.242,26.698000000000004,28.177,6,1,,,,1,,4,2,4,3,1,1,79.957,100.781,101.892,7,1,,,1,,,1,4,4,2,1,1,31.224,41.417,42.612,6,1,,1,,,,4,1,4,3,1,1,36.535,47.05899999999999,48.249,6,1,,,,,1,1,5,3,5,3,3,49.682,61.89,63.079,6,1,2,2,,,4,,,7,2,7,1,4,5,6,5,1,1,2,46,,45.469100952148,-122.55349731445,-1,
R_82mgsDeNOlmSYKh,Default Response Set,Anonymous,,,174.102.232.116,0,2014-05-17 10:33:53,2014-05-17 10:37:44,1,safe sex,food stamps,tax breaks,control,intelligent design,6,6,4,2,3,5,1,1,1,1,,,,1,,3,4,2,5,4,5,21.975,31.392,32.025,7,1,,1,,,,4,1,4,3,1,4,27.126,35.074000000000005,35.564,6,1,,,1,,,4,1,4,4,1,4,23.636,30.044999999999995,30.729,6,1,1,,,,,3,4,2,4,4,5,16.67,25.233999999999998,26.081,6,1,,,,,1,1,5,1,5,5,4,2.306,45.96000000000001,46.592,13,1,1,6,,,6,,,2,6,3,4,7,1,7,7,1,1,1,40,,43.028198242188,-88.294898986816,-1,
R_9oCEUDepEHEATMV,Default Response Set,Anonymous,,,98.242.71.182,0,2014-05-17 10:32:02,2014-05-17 10:37:59,1,safe sex,control,food stamps,tax breaks,intelligent design,6,6,3,5,2,4,1,1,1,1,,,,1,,2,4,2,4,4,4,24.08,34.911,35.522,6,1,1,,,,,4,2,4,3,2,3,19.387,26.72,27.491,6,1,,1,,,,3,3,3,3,3,4,21.951,29.732999999999997,30.467,7,1,,,1,,,4,2,5,2,2,3,10.499,23.634999999999998,24.222,8,1,,,,,1,2,4,2,5,4,4,55.005,69.613,70.503,6,1,3,1,,,1,,,6,1,7,1,4,7,2,5,3,3,1,35,,33.798095703125,-84.387702941895,-1,
R_a8ykjCx9MEyf4B7,Default Response Set,Anonymous,,,69.89.182.70,0,2014-05-17 10:32:32,2014-05-17 10:38:19,1,safe sex,food stamps,intelligent design,control,tax breaks,6,6,5,1,3,2,4,1,1,1,,,,1,,5,1,2,4,4,2,0.772,39.059,39.901,9,1,,1,,,,5,1,3,3,3,3,1.098,55.25600000000001,56.755,9,1,,,,,1,5,1,5,5,1,5,0.934,45.163000000000004,46.591,8,1,1,,,,,5,1,5,3,1,3,1.141,46.619,47.286,11,1,,,1,,,1,5,3,3,3,3,0.798,48.669000000000004,50.111,9,1,1,4,,,6,,,7,2,6,7,4,5,3,5,2,1,1,30,,40.055801391602,-84.931701660156,-1,
